

,username,review
0,The Mift,"Food court-nya lumayan, kadang ada live music nya. Smoga bs bertahan, banyakin acara dan renov yg diperlukan.. 👍 …"
1,탁보성,Makin lama makin sepi aayang sekali
2,HISTORY Makers,Very nicetempat ok bisa buat acara ultah makanan tinggal pesan di dalam fuul bisa karaoke
3,Nanang Hermanto,Mall sepi tak berpenghuni
4,Endra Harsono,Mantap dekat dengan perbatasan sda-sby bundaran waru
5,yoyok kgb,Tempat yang nyaman untuk cari ketenangan
6,Wilson Setiawan,Kesini hanya untuk jajan dan nonton bioskop
7,sigit setyawan,Banyak tenant tutup
8,Recky syu,Bagus
9,Juli putra Perdana,Sangat nyaman banget..
10,Indira Elok,Gag bnyak komen.. Bagus
11,andreas prasetyo,lumayan sepi
12,Xenn La,Sepi sekarang
13,Najwa Ismia,"Sebenarnya termasuk Mall yg cukup lama, letaknya juga strategis di akses masuk Surabaya dan mudah dijangkau
Hanya kemarin saat ke sini, parkiran sepii
Bnyk tenant2 yg pada tutup.
Semoga kembali ramai
Buat event2 yg bisa datangkan massa"
14,farhaanaa nf,cuma buat nonton aja kesini
15,hendra van alrinto,Sepi sekali. Bnyk outlet dijual
16,Heri Attar,"Mall paling dekat dengan bandara juanda, bisa dikunjungi saat transit di juanda, namun lalu lintas di depan mall sering kali ramai saat pagi dan sore hari"
17,PUTRA AGUNG tour & travel,mall yang bakal dilihat saat siapapun awal pertama kali masuk ke Surabaya
18,Ary Wijayanto,Makan siang
19,Susanto Hugeng,"Sepi banget banyak tenant tutup, foodcourt msh ada, bioskop di hari minggu pun gk terlalu ramai, parkiran mobil jadi kliatan kotor dan gelap..semoga segera ada terobosan dari pihak manajement biar mall megah di selatan Surabaya ini kembali semarak"
20,Desi Natalia,Sepi 🤭 …
21,Fahrur Rozy,"Semoga city of tomorrow (Cito) bisa ramai kembali seperti semula
Yah nanti Buka supermarket baru : FamilyMart Cito, yg di cito mall A yani Surabaya, padahal Familymart yaitu sebagai penggantinya hypermart yg di Cito mall"
22,Cicik Rochmatillah,"Mall kosong semakin mati, eman2"
