,username,review
0,Hyang Iman,okeee
1,pilipus berlin,Bagus
2,Calvin Paparang,Tempatnya gede banget sampe bingung arah keluar nya 😅 …
3,Ali Muharom,"Hall nya luas dan cocok untuk berbagai event, ruangannya juga dingin, pelayanan sangat bagus,"
4,Ayu Agustina,"Tempatnya bagus, bersih, tersedia berbagai tenant dari brand-brand ternamam. Fasilitas toilet bersih dan terawat, ramah difabel juga."
5,Nurul H,Parkir eksklusiv
6,Yohanes Devy Mairuhu,"Mall terbesar di kota surabaya, tempatnya sangat luas dan nyaman. Kemarin pas kesini bingung sama pintu keluarnya 😂🙏🏼 …"
7,CV HENDRA KARYA ABADI,Suasana mantap
8,Awien syuib,"Tempatnya sangat luas dan besar
Musholla nya pun sangat bersih dan nyaman
Tersedia air dingin juga🤩 …"
9,Matus Hanun,"Mall terbesar di Surabaya i guest, tempatnya nyaman, super lengkap, hampir semua brand ada disini. Tempat jalan-jalan favorit"
10,Thomas S Wijaya,Bagus
11,Rizqiana Mauliasari Kurniawan,Banyak diskonan terutama di hall CAMELEON nya
12,Rinanti Permatasari,Dingin
13,Harbara Digdaya Haq,"Bruh, hampir tersesat saat mencoba ke sini 😅 …"
14,EMIR LAW,Toko-toko baru dan restorang
15,reki doang,Mal besar
16,Dhise Freesilia,"Tempat window shopping yg menurut kami cukup lengkap dan berada di pusat kota, cocok buat yg niat cuci mata sambil menuhin target langkah harian.. mulai TP 1 sampai TP 6 isinya beragam untuk semua lapisan masyarakat."
17,Melia Jayanti,😂😅😆 …
18,A A,"feeling good, mall yg dari semua elemen masyarakat, semua kalangan ada, semua golongan ada, masjid luas meskipun kadang ada aroma yg kurang enak, food court tentu banyak, kamar mandi cozy, parkiran luas meskipun masuk parkiran selalu ada bau busuk dari yang mungkin dr ssluran pembuangan di bawah ya"
19,Fiza Ellya Reunita,Puas banget dengan produk ini.
20,supri yanto,"Tunjungan Plaza telah menjadi bagian hidup saya sejak masa sekolah, dan semakin membaik seiring berjalannya waktu! Kompleksnya sudah berkembang pesat—sekarang terbentang dari TP 1 hingga TP 6, dan sejujurnya, menjelajahi semuanya sekaligus terasa seperti petualangan sehari penuh 😄

Tata letaknya rapi, keseluruhan tempatnya sangat bersih, dan mereka dengan cermat menyertakan musala di setiap gedung—bahkan di dekat area parkir. Definisi sebenarnya dari mal yang berkembang namun tetap nyaman bagi semua orang!"
21,dandi akbar,Parkir susah kalau weekend
22,Syafaatin SNS,"Secara keseluruhan, TP 6 memberikan pengalaman berbelanja yang menyenangkan dan lengkap.ga rugi datang kesini,next ajak saudara kesini sihh."
23,M. IMRON,👍 …
24,astri sutioso,Bagus
25,Byut Byut,"Dapat furniture yang super kece di sini, Kualitasnya oke dan nyaman banget. Cocok banget buat rumah atau kantor. Diskonnya juga bikin seneng"
26,Riya,Besar dan lengkap petunjuknya
27,Naboy Nugro,Mal yang nyaman
28,59_Amrina Rosyada,"Kualitas furniture di sini memang juara! Banyak model terbaru, pelayanan ramah, dan ada banyak promo menarik."
29,iman diar,adem
30,ryo arfaq katsir,Nyaman ..mewah...tapi sulit menemukancendela ...agar biar dapat melihat pemandangan d ketinggian dari dalam
31,ahmad Yudhi,Keren
32,MazdaM,Bagus
33,Farel raditya Chandra,"mall nya luas,dengan tenant yang lengkap"
34,Muhammad Reza Faturrahman,Mall terbesar di Surabaya.
35,abdul moha,Tempat shooping pavorit
36,Vidbymy,Tempat terbaik untuk menghabiskan waktu Anda bersama keluarga dan teman
37,LAVIOLA FATH INTERISTI,Mal yang luar biasa. Sangat besar
38,Axel surabaya,"Elegant palace ...Second largest Plaza Mall in Indonesia ...civic center of Surabaya ..dekat Sogo...dekat Time zone...

Dekat Gramedia Tunjungan Plaza Surabaya Jatim...  Dekat Gsjs Tunjungan Plaza Surabaya Jatim... dekat Prudential ...dekat Ace Hardware Tunjungan plaza...

Tempat Maverick Enterprise...

Dari Kel PAHLAWAN dan VETERAN SERTA RAJA RAJA JAWA NUSANTARA...

Alumni Sman 16 Surabaya ...

ITS Surabaya ...

GENDHUT Hadun Jr The Pooh...

Bagus Permono IMMANUEL..

Sering dikunjungi oleh Wapres Indonesia ..."
39,Miyanto,"Mall ikonik di kota pahlawan,"
40,King Pablo,mantapz
41,Rizkya Pradita,mall tengah kota
42,Mister90,keren gede
43,Puding Rahma,"Mall terlengkap mau apa saja ada. Makan, belanja, bermain dll   Terletak dipusat kota Surabaya."
44,Rino Leksono,Stan monoton
45,Twin Amzadi,Mall terbesar di surabaya. Sangat keren. Bagus sekali. Tempat yang sangat.
46,Ankga Pratama,Mall baru dari tunjungan plaza
47,Yudha Setyadharmawan,Puas banget sama TP
48,adi salim,Minim solusi masalah parkiran
49,samsul haris,"Banyak experience yang bisa dicoba di Tunjungan Plaza 1-6. Mau belanja baju banyak pilihan storenya, cari makan dari yang murah sampai mahal pun ada, cari make up atau skincare juga banyak pilihan. Dari merk lokal sampai inter, dan brand-brand terkenal lengkap disini. Bahkan ada pula tempat les bahasa inggris."
50,Astrid Nur Aryani,Luas lengkao
51,adhityo nugroho,Maaf tapi terlalu penuh. Seperti mall sejuta umat. Better galaxy mall.
52,silmi.savira,"Mall terbesar di surabaya, tenant nya sangat lengkap, mau cari apa aja ada"
53,dadi abdi85,"Barangnya bagus , pelayanannya terbaik. Thx stevi"
54,Romy Andika,"Setiap ada promo atau pun butuh apa aja
Pasti belanja disini dan selalu memuaskan , dengan adanya promo promo yg bikin kita jadi checkout banyak , the best informa tp6 🫰🏻 pelayanan yg memuaskan …"
55,Arie Kharisma,Tempat yg cocok untuk berbelanja😚 …
56,Muhammad Irvan,Sangat cocok dikunjungi bersama keluarga
57,Lucy Lea,"Mall bagus di Surabaya, cocok untuk jalan keluarga"
58,Dion Simone,ya seperti mall sby lainnya
59,Khurin Ainun,Mall terbesar di Surabaya. Salah satu tempat wajib dikunjungi.
60,Abdul Roup,hangout bareng all bidadari surga
61,EDY HARIYANTO,Moll terbesar
62,Wulandari Sutojo,"TP 6 bener-bener luas sampek bingung nyari parkiran motor mau balik, maauknya gampang keluarnya bingung😅

Luas dan bagus si,h
Ini ketika ada acara event kopi, dan emg cizy banget buat adain event disini. Foodcourt nya juga banyak macem makanannya."
