"Username,Review,Sentiment"
"The Mift,""Food court-nya lumayan, kadang ada live music nya. Smoga bs bertahan, banyakin acara dan renov yg diperlukan.. 👍"",""Netral"""
"탁보성,""Makin lama makin sepi aayang sekali"",""Negatif"""
"HISTORY Makers,""Very nicetempat ok bisa buat acara ultah makanan tinggal pesan di dalam fuul bisa karaoke"",""Positif"""
"Nanang Hermanto,""Mall sepi tak berpenghuni"",""Negatif"""
"Endra Harsono,""Mantap dekat dengan perbatasan sda-sby bundaran waru"",""Positif"""
"yoyok kgb,""Tempat yang nyaman untuk cari ketenangan"",""Positif"""
"Wilson Setiawan,""Kesini hanya untuk jajan dan nonton bioskop"",""Netral"""
"sigit setyawan,""Banyak tenant tutup"",""Negatif"""
"Recky syu,""Bagus"",""Positif"""
"Juli putra Perdana,""Sangat nyaman banget.."",""Positif"""
"Indira Elok,""Gag bnyak komen.. Bagus"",""Positif"""
"andreas prasetyo,""lumayan sepi"",""Negatif"""
"Xenn La,""Sepi sekarang"",""Negatif"""
"Najwa Ismia,""Sebenarnya termasuk Mall yg cukup lama, letaknya juga strategis di akses masuk Surabaya dan mudah dijangkau"
"Hanya kemarin saat ke sini, parkiran sepii"
Bnyk tenant2 yg pada tutup.
Semoga kembali ramai
"Buat event2 yg bisa datangkan massa"",""Positif"""
"farhaanaa nf,""cuma buat nonton aja kesini"",""Netral"""
"hendra van alrinto,""Sepi sekali. Bnyk outlet dijual"",""Negatif"""
"Heri Attar,""Mall paling dekat dengan bandara juanda, bisa dikunjungi saat transit di juanda, namun lalu lintas di depan mall sering kali ramai saat pagi dan sore hari"",""Positif"""
"PUTRA AGUNG tour & travel,""mall yang bakal dilihat saat siapapun awal pertama kali masuk ke Surabaya"",""Netral"""
"Ary Wijayanto,""Makan siang"",""Netral"""
"Susanto Hugeng,""Sepi banget banyak tenant tutup, foodcourt msh ada, bioskop di hari minggu pun gk terlalu ramai, parkiran mobil jadi kliatan kotor dan gelap..semoga segera ada terobosan dari pihak manajement biar mall megah di selatan Surabaya ini kembali semarak"",""Negatif"""
"Desi Natalia,""Sepi 🤭"",""Negatif"""
"Fahrur Rozy,""Semoga city of tomorrow (Cito) bisa ramai kembali seperti semula"
"Yah nanti Buka supermarket baru : FamilyMart Cito, yg di cito mall A yani Surabaya, padahal Familymart yaitu sebagai penggantinya hypermart yg di Cito mall"",""Positif"""
"Cicik Rochmatillah,""Mall kosong semakin mati, eman2"",""Negatif"""
"Adetya Chandra,""Tempat strategis menuju kota surabaya"",""Positif"""
"Masus Azka,""Mall"",""Netral"""
"Yani Kris,""Bagus"",""Positif"""
"Budi Ono,""Banyak toko yg tutup"",""Negatif"""
"Solichan As shiddiq,""Semakin hari semakin sepi, banyak toko yang tutup, namun masih beroperasi dengan baik. AC, eskalator, air di toilet, musholla, food court, dan bioskop masih beroperasi dengan semestinya."",""Negatif"""
"Budiono Darmadji,""Mall terlengkap disurabaya"",""Positif"""
"Gabriel Brilliantanti,""City of Tomorrow bagus lengkap, dekat tol arah pulang, dekat bni, ada mainan anak2, toko lengkap , makanan juga lengkap enak juga."",""Positif"""
"Kartika Yuniar,""Agak kosong"",""Negatif"""
"Lisa Andriani,""Mall sepi , kebanyakan udah tutup, not recomended"",""Negatif"""
"tri hartoyo,""Sepi pengunjung, banyak tenant yg kosong"",""Negatif"""
"Yosandi AL,""mantap"",""Positif"""
"abiL,""Mall ini sekarang kondisinya memprihatinkan, sudah ditinggal tenant/brand besar."",""Negatif"""
"Puput Jupiter Han,""sedih karnaa yang buka sekarang cuma beberapaa ajaa, tapi pernah nonton bioskop di cito ini seru walapun udah sepi"",""Negatif"""
"Yustina Andryastuti,""mall mulai sepi"",""Negatif"""
"Amir Safrudin,""Sudah tutup tenant²nya"",""Negatif"""
"Kyky Anggana,""Mall yg menyenangkan.."",""Positif"""
"PAMAN GOBER,""Lewat sini cuma buat jalan dari Tempat berhenti nya bus harapan jaya dan sejenisnya lalu, terus ke halte bus kota Surabaya, Terimakasih Cito🙏🏻"",""Netral"""
"Maman Akbar,""Horor.."
Sepi..
"Jangan parkir di basement, sepi bgt.."
"Tapi, AW-nya tetep kasih pelayanan yg keren.."",""Negatif"""
"Aditya Dwi,""Indah"",""Positif"""
"Budhi Ongko,""dekat pintu tol, parkir luas dan beragam tenant"",""Positif"""
"Terminator Makanan,""Sudah banyak yang kosong tenant tenant tdk ad yg sewa byk unit di jual sepii"",""Negatif"""
"Ardian Darmawan,""cukup lengkap untuk memenuhi kebutuhan layanan"",""Positif"""
"Rheza Pratama Pramudita,""Makin sepi, banyak stan2 yg tutup"",""Negatif"""
"rajenndra09,""Sepi banget, banyak yang tutup, eskalator banyak yang mati"",""Negatif"""
"Abyan Zaenal,""Mall nya kosong, sangat sedikit toko yang buka. Eskalator pun banyak yang tidak beroperasi. Berakhir hanya numpang sholat dan langsung ke bandara."

"Semoga bisa bangkit dan ramai mall nya"",""Negatif"""
"Percikan Hati,""Wee datang mengunjungi mal ini dari tempat yang sangat jauh dan menemukan lebih dari 90 persen toko tutup. Saya tidak tahu bagaimana mereka mendapat 26 ribu ulasan positif."",""Negatif"""
"Toha Saputra,""Mantap"",""Positif"""
"Widi Nugroho,""Langganan makan sushi dan ramen yg uenaakk..inagi"",""Netral"""
"Andreas Santoso Laymans,""Sepi, kurang terawat."",""Negatif"""
"LPRA,""Mall nya sudah mau tutup."
"Jarang ada aktivitas"",""Negatif"""
"De Queena & Nu Dee,""Banyak yg udh tutup ,kadang eskalator mati jd turun manual"",""Negatif"""
"Deni Stv,""Sangat menyenangkan untuk kegiatan dan lomba antar sekolah."",""Positif"""
"Rahmat Carissa Citra,""Mal multi toko adalah tempat yang bagus"",""Positif"""
"Ifah Atmaja,""Mall yang mulai sepi.. yag ramai hanya di foodcourt"",""Netral"""
"Tikno Idris,""Bagaimana kabarmu saat ini ? Sepertinya sdh mulai sepi. Yang pas dijadikan hotel saja pasti keren dan ramai di pintu masuk Kota Surabaya"",""Positif"""
"Suwiyanto Suwiyanto,""😆, masih banyak pasar tumpah.."
"harga lebih murah 😆"",""Netral"""
"Gilang Pamungkas,""Tolong dong ac d foodcourt nya d dinginin masak kayak d pasarr gtu mall puanaas ."
Kasihan org yg makan pengunjung yg d foodcourt ..
"parahh bgt .."",""Negatif"""
"Aqilah Zahsy,""Sekarang sangat sepi. Cinepolis tidak ada orang maupun pegawai sama sekali sampai 10.30 padahal Minggu."
"Food court hanya ada kurang dari 10 pengunjung sampai siang."",""Negatif"""
"Gani Kurniawan,""Sayangnya. Banyak remaja yang dekat"",""Positif"""
"Julianto Yul,""Tempatnya sangat sepi"",""Negatif"""
"Christopher Arvin Lynn 37,""Ramainya karena jadi tempat olahraga"",""Positif"""
"dian dee,""2025 sudah sepiii...."",""Negatif"""
"I Gusti Bagus Muliada Jelantik,""Oke"",""Positif"""
"Masykur Majazi,""Akibat pembayaran wajib pakai OVO,akhir mall ini sepi."",""Negatif"""
"Aix Tox,""Mainan nya sudah tutup di tahun 2025"",""Negatif"""
"Gita Barana,""September"",""Netral"""
"Ita Wahyuni,""Makin Lama makin sepi pengunjung"",""Negatif"""
"Elty Wuysang,""Mall nya bagus"",""Positif"""
"Zain,""gampang nyari nya...just orang luar Surabaya"",""Positif"""
"Christian Handriono,""Sdh tdk ada yoshinoya. Tdk ada supermarket"",""Netral"""
"bias arsitek design,""semakin sepi setelah badai covid melanda"",""Negatif"""
"jericho yusuf abdillah,""Kotor dan kurang terawat"",""Negatif"""
"Sutama Wisnu Dyatmika,""uda banyak yg tutup"",""Negatif"""
"edy anwar,""Tempat yang cocok untuk family time, mengisi liburan sekolah."
"Sajian acaranya sangat luar biasa."",""Positif"""
"M. Hasbi Hizbi Samhudi,""Tempat belanja"",""Netral"""
"hwa san,""Bagaimana orang bisa memberikan bintang 3 dan 4 ini???  Pergi ke sana pada hari Sabtu dan lagi hari ini (berharap ada toko kelontong yang saya lewatkan = TIDAK)"
"Saya merasa kasihan pada vendor.  90% toko tutup.  Tidak ada pembeli nyata yang berjalan-jalan.  Bencana perencanaan total. Saya tinggal di apartemen di atasnya.  Rasanya hari ini adalah kali kedua dan terakhir kalinya aku pergi ke mal.  Terlalu menyedihkan"",""Negatif"""
"Pebri Rizalludin,""mall sangat panas dan bau"",""Negatif"""
"Quest Gamer (Mr . R),""Nyaman buat ngopi"",""Positif"""
"Dharma Ardyasa,""Tempat strategis, mungkin ada kesalahan manajemen kok sekarang banyak gerainya yg tutup atau dijual.."",""Netral"""
"Hani karunia Jelita,""Bagus"",""Positif"""
"Cindy Elisia,""Parkir nyaman dan dekat bandara"",""Positif"""
"Abang CA,""Tampilan dalam mall tidak semegah tampilan di luar."",""Negatif"""
